date,indicator,max_temp,indicator,min_temp,igmin,min_grass,indicator,precipitation,pressure_cbl,wind_speed,indicator,max_10minute_wind,indicator,dir_10minute_wind,indicator,max_gust,sun,dos,global_radiation,soil,potential_evap,evap,smd_wd,smd_md,smd_pd,year,month,day,temp_range,total_soil_moisture
1942-01-01,0,5.5,0,5.5,0,4.7,2,0.0,1020.3,5.5,1, ,1, ,1, ,0.0,0, ,5.5,1.1,1.4,5.5,5.5,5.5,1942,1,1,0.0,5.5
1942-01-02,0,5.5,0,5.5,0,6.7,0,0.1,1016.2,5.5,1, ,1, ,1, ,0.0,0, ,5.5,0.7,0.9,5.5,5.5,5.5,1942,1,2,0.0,5.5
1942-01-03,0,5.5,0,5.5,0,7.2,0,1.5,1006.8,5.5,1, ,1, ,1, ,0.1,0, ,5.5,0.5,0.6,5.5,5.5,5.5,1942,1,3,0.0,5.5
1942-01-04,0,5.5,0,2.7,0,3.4,0,3.5,1001.5,5.5,1, ,1, ,1, ,0.6,0, ,5.5,0.6,0.7,5.5,5.5,5.5,1942,1,4,2.8,5.5
1942-01-05,0,3.5,1,-0.8,0,0.0,0,0.6,1013.4,5.5,1, ,1, ,1, ,3.4,0, ,5.5,0.6,0.7,5.5,5.5,5.5,1942,1,5,4.3,5.5
1942-01-06,0,5.1,0,0.7,1,-3.7,2,0.0,1021.1,5.5,1, ,1, ,1, ,0.1,0, ,5.5,0.4,0.5,5.5,5.5,5.5,1942,1,6,4.3999999999999995,5.5
1942-01-07,0,5.5,0,0.5,1,-1.0,3,0.0,1021.7,5.5,1, ,1, ,1, ,4.0,0, ,5.5,0.2,0.2,5.5,5.5,5.5,1942,1,7,5.0,5.5
1942-01-08,0,5.5,0,1.4,0,0.2,3,0.0,1016.8,5.5,1, ,1, ,1, ,3.7,0, ,5.5,0.2,0.2,5.5,5.5,5.5,1942,1,8,4.1,5.5
1942-01-09,0,4.5,0,0.7,0,0.9,0,0.2,1012.0,5.5,1, ,1, ,1, ,0.6,0, ,5.5,0.5,0.7,5.5,5.5,5.5,1942,1,9,3.8,5.5
1942-01-10,0,5.3,1,-2.8,1,-4.1,3,0.0,1015.9,4.0,1, ,1, ,1, ,5.0,0, ,5.5,0.0,0.1,5.5,5.5,5.5,1942,1,10,8.1,5.5
1942-01-11,0,4.0,1,-2.6,1,-9.5,0,1.1,1014.6,2.8,1, ,1, ,1, ,1.6,0, ,5.5,0.2,0.3,5.5,5.5,5.5,1942,1,11,6.6,5.5
1942-01-12,0,5.1,0,0.1,1,-1.1,0,2.5,999.5,5.5,1, ,1, ,1, ,0.0,0, ,5.5,0.3,0.5,5.5,5.5,5.5,1942,1,12,5.0,5.5
1942-01-13,0,4.8,1,-1.4,1,-2.0,0,0.2,987.0,5.5,1, ,1, ,1, ,5.5,0, ,5.5,0.0,0.0,5.5,5.5,5.5,1942,1,13,6.199999999999999,5.5
