date,indicator,max_temp,indicator,min_temp,igmin,min_grass,indicator,precipitation,pressure_cbl,wind_speed,indicator,max_10minute_wind,indicator,dir_10minute_wind,indicator,max_gust,sun,dos,global_radiation,soil,potential_evap,evap,smd_wd,smd_md,smd_pd,Latitude,Longitude,Station Name,year,month,day,temp_range,total_soil_moisture,wind_category,extreme_rain,heatwave,high_wind,sun_category,season
1979-10-28,0,-0.27,0,-0.36,1,-1.9,0,-0.26,997.9,-0.31,0,-0.26,0,0.89,0,-0.4,0.06,0,573,-0.24,0.7,0.9,-1.39,-1.0,-0.3,53.43,-6.24,Dublin Airport,1979,10,28,7.5,-0.13,W,0,1,1,Moderate,Winter
1979-10-29,0,-0.48,0,-0.48,0,2.7,0,-0.36,998.8,-0.45,0,-0.88,0,0.42,0,-0.91,-0.96,0,417,-0.38,0.6,0.8,-1.39,-0.97,-0.32,53.43,-6.24,Dublin Airport,1979,10,29,7.0,-0.13,SW,0,1,1,Very Low,Winter
1979-10-30,0,0.48,0,0.6,0,7.4,0,1.67,990.8,0.92,0,0.96,0,0.07,0,1.05,-0.91,0,247,-0.01,0.8,1.0,-1.39,-2.01,-1.04,53.43,-6.24,Dublin Airport,1979,10,30,6.9,-2.3,SW,1,1,1,Very Low,Uncategorized
1979-10-31,0,-0.15,0,0.22,0,5.3,0,-0.46,990.0,0.74,0,0.96,0,0.54,0,1.15,0.73,0,577,-0.14,1.0,1.2,-1.19,-0.79,-1.04,53.43,-6.24,Dublin Airport,1979,10,31,5.5,-0.82,W,0,1,1,Moderate,Spring
1979-11-01,0,-0.4,0,-0.14,0,4.0,2,-0.71,1001.6,0.51,0,0.2,0,0.42,0,0.12,0.81,0,585,-0.46,1.2,1.5,-0.75,-0.45,-0.78,53.43,-6.24,Dublin Airport,1979,11,1,5.9,0.3,SW,0,1,1,Moderate,Uncategorized
1979-11-02,0,0.01,0,-0.34,0,2.2,0,2.15,1007.2,-0.22,0,0.04,0,-0.51,0,0.22,-1.01,0,311,-0.44,0.6,0.8,-1.39,-2.01,-1.04,53.43,-6.24,Dublin Airport,1979,11,2,8.8,-2.3,S,1,1,1,Very Low,Winter
1979-11-03,0,0.87,0,1.01,0,9.6,2,-0.71,1000.3,2.08,0,1.57,0,0.19,0,1.56,-0.58,0,333,0.24,1.3,1.6,-0.87,-0.54,-1.04,53.43,-6.24,Dublin Airport,1979,11,3,7.0,-0.28,SW,0,1,1,Very Low,Uncategorized
1979-11-04,0,-0.54,0,-0.0,0,5.1,0,0.33,997.1,1.54,0,2.19,0,0.42,0,2.08,0.06,0,453,-0.17,0.8,1.1,-1.39,-0.97,-1.04,53.43,-6.24,Dublin Airport,1979,11,4,4.6,-1.18,SW,0,1,1,Moderate,Uncategorized
1979-11-05,0,-0.64,0,-0.25,0,2.7,2,-0.71,992.8,1.14,0,0.96,0,0.31,0,0.64,-0.91,0,250,-0.53,0.7,1.0,-1.11,-0.73,-1.04,53.43,-6.24,Dublin Airport,1979,11,5,5.2,-0.68,SW,0,1,1,Very Low,Winter
1979-11-06,0,-0.66,0,0.02,0,7.1,0,-0.31,991.1,0.25,0,0.96,0,0.77,0,1.15,-1.07,0,168,-0.29,0.6,0.8,-1.19,-0.79,-1.04,53.43,-6.24,Dublin Airport,1979,11,6,3.9,-0.82,W,0,1,1,Very Low,Uncategorized
